arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A1,300014.SZ,2022-03-04,2022-06-01,58,1,6024.357208800015
A1,300750.SZ,2022-02-11,2022-06-02,74,1,-19274.758286580007
A1,601012.SH,2022-03-30,2022-06-06,42,1,-42370.90251731995
A1,002415.SZ,2022-05-09,2022-06-06,19,3,21141.421241400065
A1,300122.SZ,2022-04-15,2022-06-16,40,2,-3240.685582579994
A1,002241.SZ,2022-06-24,2022-08-05,30,1,5669.915238360059
A1,002466.SZ,2022-08-22,2022-08-24,2,1,1454.1367759999994
A1,600036.SH,2022-07-14,2022-08-31,34,2,-16744.15769418003
A1,601888.SH,2022-08-09,2022-09-26,33,1,7231.670899199991
A1,300274.SZ,2022-09-01,2022-10-12,23,1,18834.460837200022
A1,603259.SH,2022-07-28,2022-10-17,51,4,-54886.84217447997
A1,601012.SH,2022-08-23,2022-10-27,41,1,-169.83820343999923
A1,601899.SH,2022-09-27,2022-10-28,18,1,12943.121547240007
A1,002594.SZ,2022-07-13,2022-11-04,76,3,7883.4998705401085
A1,600036.SH,2022-10-13,2022-11-11,21,1,380.34458028000154
A1,300059.SZ,2022-08-03,2022-11-15,68,2,5376.445004560006
A1,000625.SZ,2022-08-25,2022-11-30,63,2,-298.02969871000005
A1,600519.SH,2022-10-13,2022-12-01,35,2,-3317.012517959927
A1,000568.SZ,2022-10-20,2022-12-01,30,1,1372.940356140025
A1,600887.SH,2022-10-21,2022-12-01,29,1,-136.2879227199992
A1,600522.SH,2022-11-29,2023-01-03,24,1,2524.9894019999992
A1,300274.SZ,2022-12-07,2023-01-03,18,2,48201.52225410007
A1,002241.SZ,2022-11-14,2023-01-05,37,2,16281.968037059996
A1,002812.SZ,2022-11-24,2023-01-06,30,3,71190.55750770017
A1,601012.SH,2022-12-23,2023-01-18,17,1,15530.77482048003
A1,300014.SZ,2023-01-12,2023-02-01,9,1,13742.55426942007
A1,300750.SZ,2023-02-20,2023-03-31,29,2,-139.5829497599043
A1,600519.SH,2023-03-09,2023-03-31,16,2,11832.07440599997
A1,300059.SZ,2023-03-08,2023-04-03,18,2,6404.262372550031
A1,002594.SZ,2023-03-13,2023-04-28,33,1,3770.95544100002
A1,000858.SZ,2023-04-11,2023-05-22,26,2,-10014.006498299947
A1,000651.SZ,2023-05-05,2023-06-09,25,1,1459.414179000014
A1,601899.SH,2023-05-15,2023-06-09,19,1,64.52843677999977
A1,600519.SH,2023-04-13,2023-06-16,43,1,7184.677604219993
A1,601012.SH,2023-03-17,2023-06-29,68,3,-33945.779836840025
A1,600809.SH,2023-05-23,2023-07-25,43,4,59632.17764958006
A1,002415.SZ,2023-06-12,2023-07-27,31,1,289.6681091000005
A1,600570.SH,2023-07-12,2023-08-04,17,1,1940.6970200000032
A1,600276.SH,2023-08-01,2023-08-28,19,3,13381.668178560212
A1,002475.SZ,2023-09-08,2023-10-11,17,1,13314.679056360037
A1,300014.SZ,2023-02-21,2023-11-06,172,5,-199048.68375210004
A1,300059.SZ,2023-10-24,2023-11-06,9,1,90.16202354000006
A1,300308.SZ,2023-09-19,2023-11-13,33,1,904.2930994000017
A1,600519.SH,2023-10-16,2023-12-29,54,1,-1831.4126027999737
A1,601318.SH,2023-11-10,2024-01-25,53,3,-19216.067916699976
A1,300750.SZ,2023-09-11,2024-02-08,101,5,-81965.61045138992
A1,002230.SZ,2024-01-04,2024-02-08,25,1,1556.9867808000417
A1,000063.SZ,2023-08-08,2024-02-22,129,2,-47284.22470347998
A1,000625.SZ,2024-01-05,2024-02-26,30,1,-37.81860723999989
A1,002456.SZ,2023-12-15,2024-03-01,48,1,-90.30952075999971
A1,002594.SZ,2023-11-27,2024-03-12,69,2,23862.032251200028
A1,601012.SH,2024-01-30,2024-03-12,24,1,1436.0107313400022
A1,601318.SH,2024-03-25,2024-04-29,23,1,8792.969072579988
A1,000628.SZ,2024-04-01,2024-05-21,31,2,-84734.81753219999
A1,002129.SZ,2024-01-31,2024-05-22,69,3,-27893.526398039947
A1,000977.SZ,2024-05-29,2024-07-09,28,1,8939.030455080007
A1,000625.SZ,2024-05-07,2024-07-10,45,1,-8699.109568379994
A1,000725.SZ,2024-05-29,2024-07-10,29,1,3307.615375680063
A1,603019.SH,2024-03-28,2024-07-17,73,2,-12591.667527119862
A1,601919.SH,2024-07-15,2024-09-20,47,1,-7543.930624559958
A1,601138.SH,2024-07-19,2024-09-24,45,1,-36779.420462399925
A1,601899.SH,2024-07-24,2024-09-25,43,1,4746.028595220036
A1,000100.SZ,2024-05-08,2024-09-27,99,4,25440.252713270136
A1,600150.SH,2024-09-23,2024-12-18,57,2,24925.18434714002
