ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
601012.SH,隆基绿能,2022-12-23,2023-01-17,1.0,19840.342510799965,10.06,16.0,2023-01-17,1.0,19840.342510799965,10.06,16.0,2023-01-17,1.0,19840.342510799965,10.06,16.0,2023-01-17,1.0,19840.342510799965,10.06,16.0
000625.SZ,长安汽车,2022-12-29,2023-01-18,1.0,19343.14072488001,9.72,13.0,2023-01-18,1.0,19343.14072488001,9.72,13.0,2023-01-18,1.0,19343.14072488001,9.72,13.0,2023-01-18,1.0,19343.14072488001,9.72,13.0
002709.SZ,天赐材料,2023-01-03,2023-01-30,2.0,54524.12935788004,13.81,14.0,,,,,,2023-01-30,2.0,54524.12935788004,13.81,14.0,,,,,
300014.SZ,亿纬锂能,2023-01-12,,,,,,2023-01-30,1.0,13949.086710240052,7.09,7.0,,,,,,2023-01-30,1.0,13949.086710240052,7.09,7.0
300750.SZ,宁德时代,2023-02-20,2023-03-31,3.0,10722.332249460102,2.07,29.0,2023-03-31,3.0,10722.332249460102,2.07,29.0,2023-03-31,3.0,10722.332249460102,2.07,29.0,2023-03-31,3.0,10722.332249460102,2.07,29.0
300014.SZ,亿纬锂能,2023-02-21,2023-04-18,3.0,-3164.1114565799944,-0.53,39.0,2023-04-18,3.0,-3164.1114565799944,-0.53,39.0,2023-04-18,3.0,-3164.1114565799944,-0.53,39.0,2023-04-18,3.0,-3164.1114565799944,-0.53,39.0
300059.SZ,东方财富,2023-03-08,2023-04-03,2.0,20327.910781500046,5.11,18.0,2023-04-03,2.0,20327.910781500046,5.11,18.0,2023-04-03,2.0,20327.910781500046,5.11,18.0,2023-04-03,2.0,20327.910781500046,5.11,18.0
000858.SZ,五粮液,2023-04-11,2023-05-22,2.0,-15524.531477279961,-4.11,26.0,2023-05-22,2.0,-15524.531477279961,-4.11,26.0,2023-05-22,2.0,-15524.531477279961,-4.11,26.0,2023-05-22,2.0,-15524.531477279961,-4.11,26.0
600519.SH,贵州茅台,2023-04-13,2023-05-22,1.0,5095.407405780017,3.01,24.0,2023-05-22,1.0,5095.407405780017,3.01,24.0,2023-05-22,1.0,5095.407405780017,3.01,24.0,2023-05-22,1.0,5095.407405780017,3.01,24.0
600036.SH,招商银行,2023-04-28,2023-05-08,1.0,17318.43307656003,8.74,3.0,2023-05-08,1.0,17318.43307656003,8.74,3.0,2023-05-08,1.0,17318.43307656003,8.74,3.0,2023-05-08,1.0,17318.43307656003,8.74,3.0
688981.SH,中芯国际,2023-05-10,2023-06-05,1.0,13026.097600559995,6.55,18.0,,,,,,2023-06-05,1.0,13026.097600559995,6.55,18.0,,,,,
601899.SH,紫金矿业,2023-05-15,,,,,,2023-06-07,1.0,10136.111061600037,5.09,17.0,,,,,,2023-06-07,1.0,10136.111061600037,5.09,17.0
600809.SH,山西汾酒,2023-05-23,2023-06-16,2.0,4573.078221420059,1.16,18.0,2023-06-16,2.0,4573.078221420059,1.16,18.0,2023-06-16,2.0,4573.078221420059,1.16,18.0,2023-06-16,2.0,4573.078221420059,1.16,18.0
300059.SZ,东方财富,2023-05-30,2023-07-20,2.0,2911.7481795000494,0.73,35.0,2023-07-20,2.0,2911.7481795000494,0.73,35.0,2023-07-20,2.0,2911.7481795000494,0.73,35.0,2023-07-20,2.0,2911.7481795000494,0.73,35.0
300750.SZ,宁德时代,2023-06-08,2023-06-16,1.0,17456.155910460016,9.11,6.0,,,,,,2023-06-16,1.0,17456.155910460016,9.11,6.0,,,,,
002415.SZ,海康威视,2023-06-12,,,,,,2023-07-25,1.0,14763.32908200007,7.39,29.0,,,,,,2023-07-25,1.0,14763.32908200007,7.39,29.0
300418.SZ,昆仑万维,2023-06-27,2023-08-14,2.0,-33448.62567239988,-8.51,34.0,,,,,,2023-08-14,2.0,-33448.62567239988,-8.51,34.0,,,,,
300418.SZ,昆仑万维,2023-06-28,,,,,,2023-08-14,1.0,-18274.263718679926,-9.23,33.0,,,,,,2023-08-14,1.0,-18274.263718679926,-9.23,33.0
600570.SH,恒生电子,2023-07-12,2023-08-04,1.0,25211.93927220002,12.67,17.0,,,,,,2023-08-04,1.0,25211.93927220002,12.67,17.0,,,,,
