ts_code,category,years_with_data,min_rows_per_year
003020.SZ,suspended_or_missing_days,5,13
003021.SZ,suspended_or_missing_days,5,20
003022.SZ,suspended_or_missing_days,5,18
003023.SZ,suspended_or_missing_days,5,15
003025.SZ,suspended_or_missing_days,5,15
003026.SZ,suspended_or_missing_days,5,10
003027.SZ,suspended_or_missing_days,5,10
003028.SZ,suspended_or_missing_days,5,4
003029.SZ,suspended_or_missing_days,5,6
003030.SZ,mid_year_IPO_or_delisted,4,241
003031.SZ,mid_year_IPO_or_delisted,4,232
003032.SZ,mid_year_IPO_or_delisted,4,237
003033.SZ,mid_year_IPO_or_delisted,4,238
003035.SZ,mid_year_IPO_or_delisted,4,232
003036.SZ,mid_year_IPO_or_delisted,4,225
003037.SZ,mid_year_IPO_or_delisted,4,220
003038.SZ,mid_year_IPO_or_delisted,4,216
003039.SZ,mid_year_IPO_or_delisted,4,198
003040.SZ,mid_year_IPO_or_delisted,4,193
003041.SZ,mid_year_IPO_or_delisted,4,183
003042.SZ,mid_year_IPO_or_delisted,4,183
003043.SZ,mid_year_IPO_or_delisted,4,183
300005.SZ,suspended_or_missing_days,5,240
