date,leg,action,gross,fee,net,shares,px
2022-08-09,stock,buy,190710.52,49.5847352,-190760.1047352,1000,190.71052
2022-08-09,etf,buy,7933.9259999999995,5.0,-7938.9259999999995,6000,1.321
2022-08-11,etf,sell,198671.42969999998,49.667857424999994,198621.76184257498,148300,1.341
2022-08-11,stock,buy,187044.85799999998,48.631663079999996,-187093.48966308,600,311.74143
2022-08-11,etf,buy,11552.741199999999,5.0,-11557.741199999999,8600,1.342
2022-08-31,stock,sell,582712.704,734.2180070400001,581978.48599296,16800,34.68528
2022-09-01,stock,buy,199699.49999999997,51.92186999999999,-199751.42186999996,700,285.28499999999997
2022-09-01,stock,buy,190709.51899999997,49.58447493999999,-190759.10347493997,1700,112.18206999999998
2022-09-05,etf,sell,3583.2131999999997,5.0,3578.2131999999997,2800,1.281
2022-09-05,stock,buy,188488.29999999996,49.00695799999999,-188537.30695799997,700,269.26899999999995
2022-09-05,etf,sell,192085.82189999998,48.021455474999996,192037.80044452497,150100,1.281
2022-09-05,stock,buy,197096.89999999997,51.24519399999999,-197148.14519399995,1100,179.17899999999997
2022-09-05,etf,sell,121957.22069999999,30.489305175,121926.731394825,95300,1.281
2022-09-05,stock,buy,119105.987,30.96755662,-119136.95455662,1100,108.27816999999999
2022-09-05,etf,buy,4135.3312,5.0,-4140.3312,3200,1.291
2022-09-26,stock,sell,416307.276,524.54716776,415782.72883224,2100,198.24156
2022-09-27,stock,buy,199888.68899999998,51.97105914,-199940.66005913998,25900,7.717709999999999
2022-09-28,etf,buy,15823.807999999999,5.0,-15828.807999999999,13000,1.216
2022-09-29,stock,buy,199864.66499999998,51.96481289999999,-199916.62981289998,26100,7.657649999999999
2022-09-29,etf,buy,123.92379999999999,5.0,-128.92379999999997,100,1.238
2022-10-10,etf,sell,19703.277,5.0,19698.277,16300,1.21
2022-10-11,etf,buy,19661.141499999998,5.0,-19666.141499999998,16300,1.205
2022-10-12,stock,sell,349789.86,440.7352235999999,349349.1247764,2800,124.92495
2022-10-12,etf,buy,149346.39719999998,37.336599299999996,-149383.73379929998,123100,1.212
2022-10-13,stock,buy,172218.04599999997,44.776691959999994,-172262.82269195997,100,1722.1804599999998
2022-10-13,etf,buy,27673.645999999997,6.9184114999999995,-27680.564411499996,23000,1.202
2022-10-20,etf,sell,198710.6904,49.6776726,198661.0127274,160800,1.237
2022-10-20,stock,buy,162262.09999999998,42.188145999999996,-162304.28814599998,100,1622.6209999999999
2022-10-20,etf,buy,36426.9906,9.106747649999999,-36436.09734765,29300,1.242
2022-10-25,etf,sell,39605.0553,9.901263825000001,39595.154036175,30900,1.283
2022-10-26,etf,buy,39519.6802,9.87992005,-39529.56012005,30700,1.286
2022-10-28,etf,sell,39440.719800000006,9.860179950000001,39430.85962005,30700,1.286
2022-10-28,stock,sell,428051.51999999996,539.3449152,427512.17508479994,52000,8.23176
2022-10-31,stock,buy,190190.0,49.4494,-190239.4494,800,237.73749999999998
2022-10-31,stock,buy,180179.99999999997,46.846799999999995,-180226.84679999997,500,360.35999999999996
2022-10-31,etf,buy,96456.35999999999,24.114089999999997,-96480.47408999999,73000,1.32
2022-11-04,stock,sell,945919.1340000001,1191.85810884,944727.2758911601,3400,278.21151000000003
2022-11-14,stock,buy,199146.94799999997,51.778206479999994,-199198.72620647997,11800,16.876859999999997
2022-12-01,stock,sell,331668.0,417.90168000000006,331250.09832,200,1658.34
2022-12-07,stock,buy,197987.78999999998,51.476825399999996,-198039.26682539997,1900,104.20409999999998
2022-12-07,stock,sell,203166.63,255.9899538,202910.64004620002,500,406.33326
2022-12-14,stock,buy,192072.881,49.93894906,-192122.81994905998,1900,101.09098999999999
2022-12-23,stock,buy,197176.98,51.2660148,-197228.2460148,4900,40.2402
2022-12-26,stock,buy,199166.968,51.78341168,-199218.75141168,11900,16.73672
2022-12-28,etf,buy,493026.5339999999,123.25663349999998,-493149.7906334999,390900,1.26
2023-01-03,stock,sell,438916.644,553.03497144,438363.60902856,3800,115.50438
2023-01-05,stock,sell,433039.52699999994,545.62980402,432493.89719597995,23700,18.27171
2023-01-12,stock,buy,196777.58099999998,51.16217105999999,-196828.74317105996,2300,85.55546999999999
2023-01-18,stock,sell,219887.89200000002,277.05874392000004,219610.83325608002,4900,44.875080000000004
2023-02-01,stock,sell,210836.95200000002,265.65455952,210571.29744048003,2300,91.66824000000001
2023-02-20,stock,buy,166566.39999999997,43.30726399999999,-166609.70726399997,400,416.41599999999994
2023-02-21,stock,buy,193633.44,50.3446944,-193683.7846944,2600,74.4744
2023-02-22,stock,buy,163763.59999999998,42.57853599999999,-163806.17853599996,400,409.40899999999993
2023-02-23,stock,buy,199999.8,51.999947999999996,-200051.799948,2700,74.074
2023-02-24,etf,buy,379932.35279999994,94.98308819999998,-380027.3358881999,290400,1.307
2023-03-08,etf,sell,198704.89620000002,49.67622405,198655.21997595002,152300,1.306
2023-03-08,stock,buy,198693.495,51.6603087,-198745.1553087,9900,20.07005
2023-03-20,etf,sell,198828.4725,49.707118125,198778.765381875,156100,1.275
2023-03-20,stock,buy,187457.27,48.7388902,-187506.0088902,500,374.91454
2023-03-20,etf,sell,187364.9475,46.841236875,187318.106263125,147100,1.275
2023-03-20,stock,buy,199046.84799999997,51.75218047999999,-199098.60018047996,3200,62.20213999999999
2023-03-23,etf,sell,199308.8916,49.8272229,199259.0643771,156600,1.274
