kind,ts_code,end_date,ann_date,n_rows,n_update_flag_vals,n_f_ann_vals,n_value_vals
income,000049.SZ,20180930,20181030,2,2,1,1
income,000049.SZ,20181231,20190430,2,2,1,1
income,000049.SZ,20190630,20190813,2,2,1,1
income,000049.SZ,20190930,20191029,2,2,1,1
income,000049.SZ,20191231,20200417,2,2,1,1
income,000049.SZ,20200331,20200430,2,2,1,1
income,000049.SZ,20200630,20200818,2,2,1,1
income,000049.SZ,20200930,20201030,2,2,1,1
income,000049.SZ,20201231,20210323,2,2,1,1
income,000049.SZ,20210930,20211029,2,2,1,1
income,000049.SZ,20211231,20220330,2,2,1,1
income,000049.SZ,20220331,20220426,2,2,1,1
income,000049.SZ,20220930,20221028,2,2,1,1
income,000049.SZ,20221231,20230428,2,2,1,1
income,000049.SZ,20230630,20230831,2,2,1,1
income,000050.SZ,20180930,20181026,2,2,1,1
income,000050.SZ,20181231,20190315,2,2,1,1
income,000050.SZ,20190630,20190821,2,2,1,1
income,000050.SZ,20191231,20200318,2,2,1,1
income,000050.SZ,20200331,20200425,2,2,1,1
income,000050.SZ,20200630,20200829,2,2,1,1
income,000050.SZ,20200930,20201028,2,2,1,1
income,000050.SZ,20201231,20210313,2,2,1,1
income,000050.SZ,20210930,20211030,2,2,1,1
income,000050.SZ,20211231,20220315,2,2,1,1
income,000050.SZ,20220331,20220430,2,2,1,1
income,000050.SZ,20221231,20230315,2,2,1,1
income,000050.SZ,20230630,20230831,2,2,1,1
income,000055.SZ,20180930,20181018,2,2,1,1
income,000055.SZ,20181231,20190130,2,2,1,1
income,000055.SZ,20190630,20190820,2,2,1,1
income,000055.SZ,20190930,20191026,2,2,1,1
income,000055.SZ,20191231,20200418,2,2,1,1
income,000055.SZ,20200331,20200418,2,2,1,1
income,000055.SZ,20200630,20200822,2,2,1,1
income,000055.SZ,20200930,20201021,2,2,1,1
income,000055.SZ,20201231,20210323,2,2,1,1
income,000055.SZ,20210930,20211030,2,2,1,1
income,000055.SZ,20211231,20220330,2,2,1,1
income,000055.SZ,20220331,20220428,2,2,1,1
income,000055.SZ,20221231,20230228,2,2,1,1
income,000056.SZ,20180930,20181030,2,2,1,1
income,000056.SZ,20181231,20190425,2,2,1,1
income,000056.SZ,20190930,20191029,2,2,1,1
income,000056.SZ,20191231,20200428,2,2,1,1
income,000056.SZ,20200331,20200429,2,2,1,1
income,000056.SZ,20200630,20200825,2,2,1,1
income,000056.SZ,20200930,20201027,2,2,1,1
income,000056.SZ,20201231,20210424,2,2,1,1
income,000056.SZ,20211231,20220428,2,2,1,1
income,000056.SZ,20220630,20220826,2,2,1,1
income,000056.SZ,20240331,20240430,2,2,1,1
income,000058.SZ,20180630,20180831,2,2,1,1
income,000058.SZ,20180930,20181030,2,2,1,1
