sample,signal_date,mean_return,median_return,win_rate,loss_rate,n_episodes,mean_mae,mean_hold
SECONDARY,2020-10-27,4.8012678403395865,6.04261633678201,74.07407407407408,25.925925925925924,27,-11.15585012726913,32.81481481481482
SECONDARY,2020-10-28,3.346828149821852,4.955587711440405,80.95238095238095,19.047619047619047,42,-10.811219770697194,31.30952380952381
SECONDARY,2020-10-29,-1.880416747729674,2.649812082363974,66.66666666666666,33.33333333333333,45,-16.84060926767583,42.6
SECONDARY,2020-10-30,4.3705699011176655,5.753927361372777,80.0,20.0,270,-9.615144298254402,32.55185185185185
SECONDARY,2020-11-02,3.6150647582126876,5.4747682194102545,75.0,25.0,136,-10.267940414676502,34.10294117647059
SECONDARY,2020-11-03,5.805236211832455,5.46779236984315,66.66666666666666,33.33333333333333,6,-11.640356099544931,35.0
SECONDARY,2020-11-04,-6.2350552461196065,-3.1700578095831196,42.857142857142854,57.14285714285714,7,-25.780250734561655,57.285714285714285
SECONDARY,2020-11-05,-3.866383951297496,1.68413397336343,60.0,40.0,5,-23.313088898868948,60.2
SECONDARY,2020-11-06,-0.6237611104058629,1.0520581892957286,53.57142857142857,46.42857142857143,28,-21.86163048559493,49.32142857142857
SECONDARY,2020-11-09,0.8702792475992597,-3.982885120934807,33.33333333333333,66.66666666666666,3,-18.877999417870527,27.666666666666668
SECONDARY,2020-11-10,0.04044018879876591,6.006141580236593,66.66666666666666,33.33333333333333,12,-18.005038766244947,37.0
SECONDARY,2020-11-11,-1.0610572859836778,1.6245763564435365,51.06382978723404,48.93617021276596,47,-20.632079009323686,49.38297872340426
SECONDARY,2020-11-12,1.296550274445535,3.737454468398472,65.21739130434783,34.78260869565217,23,-18.369916666549823,46.78260869565217
SECONDARY,2020-11-13,1.9532899644894013,5.036937101927097,71.42857142857143,28.57142857142857,14,-16.825770424890546,38.285714285714285
SECONDARY,2020-11-16,-3.5976894297668887,-4.32968384468591,33.33333333333333,66.66666666666666,21,-28.97404304636733,55.19047619047619
SECONDARY,2020-11-17,1.4229207492101437,2.5726661387556113,52.38095238095239,47.61904761904761,42,-20.53254739335054,49.142857142857146
