date,mode,equity,cash,invested,stock_val,n_pos
2023-06-15,A2,1017989.2772729929,36.277272992856524,1091102.22944722,1017953.0,3
2023-06-16,A2,1029864.6003614329,352831.6003614328,759885.3354392201,677033.0,2
2023-06-19,A2,1017768.6003614329,352831.6003614328,759885.3354392201,664937.0,2
2023-06-20,A2,1021331.6003614329,352831.6003614328,759885.3354392201,668500.0,2
2023-06-21,A2,1002984.6003614329,352831.6003614328,759885.3354392201,650153.0,2
2023-06-26,A2,1001353.6003614329,352831.6003614328,759885.3354392201,648522.0,2
2023-06-27,A2,997368.8414534328,156784.84145343286,955932.09434722,840584.0,3
2023-06-28,A2,989387.8414534328,156784.84145343286,955932.09434722,832603.0,3
2023-06-29,A2,982400.1506667929,209552.15066679288,901178.28945144,772848.0,2
2023-06-30,A2,1005698.1506667929,209552.15066679288,901178.28945144,796146.0,2
2023-07-03,A2,1008839.1506667929,209552.15066679288,901178.28945144,799287.0,2
2023-07-04,A2,1008639.1506667929,209552.15066679288,901178.28945144,799087.0,2
2023-07-05,A2,998288.1506667929,209552.15066679288,901178.28945144,788736.0,2
2023-07-06,A2,992093.1506667929,209552.15066679288,901178.28945144,782541.0,2
2023-07-07,A2,970521.1506667929,209552.15066679288,901178.28945144,760969.0,2
2023-07-10,A2,981022.1506667929,209552.15066679288,901178.28945144,771470.0,2
2023-07-11,A2,985797.1506667929,209552.15066679288,901178.28945144,776245.0,2
2023-07-12,A2,961595.6739917928,10551.673991792894,1100178.76612644,951044.0,3
2023-07-13,A2,962608.6739917928,10551.673991792894,1100178.76612644,952057.0,3
2023-07-14,A2,974347.6739917928,10551.673991792894,1100178.76612644,963796.0,3
2023-07-17,A2,972360.6739917928,10551.673991792894,1100178.76612644,961809.0,3
2023-07-18,A2,969476.6739917928,10551.673991792894,1100178.76612644,958925.0,3
2023-07-19,A2,958104.6739917928,10551.673991792894,1100178.76612644,947553.0,3
2023-07-20,A2,937057.6739917928,10551.673991792894,1100178.76612644,926506.0,3
2023-07-21,A2,949273.3959498329,2342.395949832895,1108388.0441683999,946931.0,4
2023-07-24,A2,939312.3959498329,2342.395949832895,1108388.0441683999,936970.0,4
2023-07-25,A2,971434.3959498329,2342.395949832895,1108388.0441683999,969092.0,4
2023-07-26,A2,951902.3959498329,2342.395949832895,1108388.0441683999,949560.0,4
2023-07-27,A2,954146.3959498329,2342.395949832895,1108388.0441683999,951804.0,4
2023-07-28,A2,965954.3959498329,2342.395949832895,1108388.0441683999,963612.0,4
2023-07-31,A2,987989.3959498329,2342.395949832895,1108388.0441683999,985647.0,4
2023-08-01,A2,979862.3959498329,2342.395949832895,1108388.0441683999,977520.0,4
2023-08-02,A2,972828.3959498329,2342.395949832895,1108388.0441683999,970486.0,4
2023-08-03,A2,979450.3959498329,2342.395949832895,1108388.0441683999,977108.0,4
2023-08-04,A2,996065.6147648329,227083.61476483292,909387.5674934,768982.0,3
2023-08-07,A2,991767.6147648329,227083.61476483292,909387.5674934,764684.0,3
2023-08-08,A2,981028.239035153,3534.239035152972,1132936.94322308,977494.0,4
2023-08-09,A2,971253.239035153,3534.239035152972,1132936.94322308,967719.0,4
2023-08-10,A2,978028.239035153,3534.239035152972,1132936.94322308,974494.0,4
2023-08-11,A2,971568.239035153,3534.239035152972,1132936.94322308,968034.0,4
2023-08-14,A2,990913.632298793,328911.632298793,780969.93158684,662002.0,3
2023-08-15,A2,985654.794608233,132007.794608233,977873.7692774,853647.0,4
2023-08-16,A2,974701.794608233,132007.794608233,977873.7692774,842694.0,4
2023-08-17,A2,976294.6242325531,4400.624232553022,1105480.9396530797,971894.0,5
2023-08-18,A2,955414.6242325531,4400.624232553022,1105480.9396530797,951014.0,5
2023-08-21,A2,934436.6242325531,4400.624232553022,1105480.9396530797,930036.0,5
2023-08-22,A2,937941.6242325531,4400.624232553022,1105480.9396530797,933541.0,5
2023-08-23,A2,906714.043657003,1838.043657003022,1108043.5202286297,904876.0,6
2023-08-24,A2,916921.043657003,1838.043657003022,1108043.5202286297,915083.0,6
2023-08-25,A2,896666.043657003,1838.043657003022,1108043.5202286297,894828.0,6
2023-08-28,A2,907651.721092603,32094.721092603024,1080989.4680034297,875557.0,5
2023-08-29,A2,940099.721092603,32094.721092603024,1080989.4680034297,908005.0,5
2023-08-30,A2,943225.721092603,32094.721092603024,1080989.4680034297,911131.0,5
2023-08-31,A2,936262.721092603,32094.721092603024,1080989.4680034297,904168.0,5
2023-09-01,A2,929358.721092603,32094.721092603024,1080989.4680034297,897264.0,5
