anchor_day,n,n_failure,n_recovery,failure_component,recovery_component
671,1,0,1,0.0,-13.106710157200432
673,1,1,0,9.130101838843032,0.0
674,1,1,0,-6.974038408820956,0.0
675,2,2,0,-5.4587578187503185,0.0
676,7,3,4,-0.8645244186250525,-10.328279662655362
677,2,1,1,-1.9658907850705856,-1.388023781555427
678,12,5,7,-1.4568615644218017,-8.902559830150647
679,21,13,8,-3.4334434889253194,-4.719853491107502
680,5,4,1,-4.5843432685893175,-1.1159794311297369
681,5,2,3,0.7769350579757628,-10.076877762178196
682,57,32,25,-5.650323430150528,-6.5997235040775974
683,49,29,20,-4.653302447951492,-6.544812674432201
684,4,2,2,0.2599271270910999,-10.562055886749476
685,1,0,1,0.0,-11.372931911929475
689,1,1,0,2.9786249449242863,0.0
696,1,1,0,-4.3880415723334565,0.0
697,2,2,0,-3.303271159382974,0.0
698,1,1,0,-2.8022321145719182,0.0
700,2,2,0,-5.3519253154431,0.0
701,1,1,0,-6.173435133528935,0.0
703,4,2,2,-1.8026131503536367,-3.7076694760601763
705,1,1,0,-0.848177777346466,0.0
708,1,1,0,-1.386755473150803,0.0
709,1,0,1,0.0,-9.495783610212714
712,1,1,0,-3.756874028878453,0.0
713,2,1,1,2.11144649566807,-4.226875945532255
715,1,1,0,-5.274586983517302,0.0
717,2,1,1,-0.6063017845116896,-4.21210678952212
718,4,2,2,11.022672451809667,-7.889618762252282
719,4,3,1,-3.6351317673224743,-2.2259231472597047
720,7,3,4,-4.739665745060501,-5.000851038566149
721,16,6,10,-2.945728847619149,-9.195296815979827
722,15,6,9,-3.138328754267108,-11.16073848353331
724,2,1,1,17.283589253515288,-1.7393536703270929
725,1,1,0,-4.916550316280382,0.0
726,2,1,1,-3.7604960399092295,-8.360758099818165
727,2,2,0,-5.369651771566185,0.0
730,1,0,1,0.0,-12.135796852466264
734,1,1,0,-8.652260669758352,0.0
736,2,2,0,-2.935859438549463,0.0
737,1,1,0,-8.818131456136301,0.0
740,2,1,1,-4.826562362070638,-3.771273965359087
741,1,1,0,1.0894382358714116,0.0
743,1,0,1,0.0,-30.242645025543595
748,1,1,0,-6.458059100690223,0.0
754,1,1,0,45.444796477891906,0.0
755,1,1,0,4.660681419777044,0.0
756,3,3,0,6.122921109750162,0.0
765,1,1,0,46.964233120359815,0.0
766,1,1,0,16.50211785134563,0.0
771,1,1,0,40.089584602671174,0.0
772,1,1,0,7.375273187837905,0.0
773,4,2,2,-1.4037090771790215,-3.9246571855142918
775,3,3,0,11.01255593929893,0.0
776,11,9,2,7.877368462097523,-2.5183599814409465
777,12,11,1,18.311063006261218,-0.2738275772203931
778,1,1,0,25.06089683105643,0.0
780,1,1,0,0.7087585711569133,0.0
781,2,2,0,10.20077853681848,0.0
782,2,2,0,10.695745704768022,0.0
783,1,1,0,5.652211582976928,0.0
784,3,3,0,15.663965407695256,0.0
785,3,3,0,10.7963107791574,0.0
786,1,1,0,4.496803142212903,0.0
787,1,1,0,11.58912227224516,0.0
788,7,7,0,-0.5886505551166442,0.0
789,5,5,0,9.50773423647774,0.0
790,1,1,0,5.714877124025302,0.0
791,3,3,0,0.20356476670014642,0.0
792,2,2,0,12.6540033350832,0.0
793,2,2,0,12.933371886749992,0.0
794,6,6,0,7.227365028017604,0.0
795,1,1,0,0.9187532318781813,0.0
796,1,1,0,2.8625296492973966,0.0
797,5,5,0,22.438882103642523,0.0
798,7,7,0,6.18159755579227,0.0
799,28,26,2,1.9558025883634294,-0.7315825329706017
800,37,31,6,-0.4543923972944253,-2.077627030210514
801,45,39,6,1.2528323383856717,-1.8224806833116933
802,113,99,14,-2.473059485068075,-1.7794792262014187
803,28,24,4,1.5217529892194936,-2.3510076051663598
804,7,5,2,-2.7872127504228823,-4.229116895353251
805,22,20,2,2.4805401051914036,-0.9458499525362627
806,18,16,2,2.5923258933457514,-1.851897461305137
807,22,20,2,1.3906171942718801,-0.6397984577032432
808,5,5,0,3.2033824551634837,0.0
809,22,18,4,-0.20107515492207462,-2.5233931383000403
810,7,7,0,-2.616046872887434,0.0
811,4,3,1,6.058969263521794,-4.537964563808554
812,9,8,1,-1.419678428360529,-1.9225398608599507
813,6,5,1,0.8785474722862848,-3.2971143946626214
814,1,1,0,-7.215831261558202,0.0
815,4,4,0,12.64307377327522,0.0
816,4,4,0,1.6555024583064646,0.0
817,8,8,0,-1.0911781098361244,0.0
818,3,3,0,-3.2310206442031757,0.0
820,6,6,0,0.9766314742239866,0.0
821,13,11,2,-2.334239324301064,-2.093319626366999
822,8,7,1,0.2799384890927821,-1.3075453227809004
823,9,8,1,-5.177853642897912,-1.4272647100501914
824,19,16,3,-3.136124637411465,-2.3591378810137305
825,10,9,1,-2.6916114637063395,-0.7404053967146853
826,6,6,0,1.845940667173848,0.0
827,2,2,0,-1.2453460872199091,0.0
828,1,1,0,0.5841895792138239,0.0
829,7,7,0,-3.0961526985532974,0.0
830,6,6,0,-2.0219615866569534,0.0
831,15,13,2,-1.3188040602667708,-2.4014960886277796
832,10,8,2,-1.8716926447174767,-3.28980936565778
833,7,7,0,-2.496348880334107,0.0
834,3,3,0,-5.453617930642824,0.0
835,2,2,0,-4.574163051668986,0.0
836,4,4,0,3.7606882132435713,0.0
838,2,2,0,-4.6177161855037205,0.0
839,5,5,0,-5.382253288299847,0.0
840,15,13,2,-7.0421031682916695,-2.1144731425143255
841,27,24,3,-6.130235050314213,-1.4526036669608149
842,2,2,0,-6.370247966975112,0.0
843,6,6,0,3.92787332639589,0.0
844,1,1,0,25.099074091460487,0.0
845,3,3,0,7.540231718668513,0.0
847,1,1,0,-2.033232848058333,0.0
849,1,1,0,3.5961052731630296,0.0
850,1,1,0,-14.228212138753992,0.0
851,1,0,1,0.0,-10.351798657704157
854,2,2,0,-5.740586217042361,0.0
855,1,1,0,-7.231540016233453,0.0
856,6,6,0,6.036489225370147,0.0
857,1,1,0,-9.399380541883634,0.0
858,3,2,1,4.3824012846323805,-2.742867161057296
859,2,2,0,1.4211143479599198,0.0
860,5,4,1,3.601152310498578,-3.0352207400803244
862,1,1,0,10.82164769711706,0.0
863,1,1,0,6.79670397995104,0.0
864,2,2,0,11.247912893787351,0.0
865,2,2,0,3.596722624782637,0.0
