horizon_day,variable,bucket,count,pct
10,high_ret,-8~-5%,10675,6.889230213227322
10,high_ret,-5~-3%,12057,7.78111931436832
10,high_ret,-3~-2%,7784,5.023491145645103
10,high_ret,-2~-1%,8746,5.644328566265682
10,high_ret,-1~0%,9683,6.249031958283855
10,high_ret,0~+1%,9940,6.414889772316588
10,high_ret,+1~+2%,9557,6.16771645412773
10,high_ret,+2~+3%,8992,5.803087407713357
10,high_ret,+3~+5%,15154,9.779802777634364
10,high_ret,+5~+8%,16592,10.707832102844751
10,high_ret,+8~+10%,7677,4.9544375032268055
10,high_ret,+10~+15%,11628,7.504259383551035
10,high_ret,+15~+20%,5560,3.588207961175074
10,high_ret,>=+20%,7658,4.942175641488977
10,low_ret,<-20%,4900,3.1622696060715576
10,low_ret,-20~-15%,4010,2.5878981878259077
10,low_ret,-15~-10%,9152,5.906345190768754
10,low_ret,-10~-8%,7357,4.7479219371160095
10,low_ret,-8~-5%,18240,11.77138726831535
10,low_ret,-5~-3%,17030,10.990500283958903
10,low_ret,-3~-2%,9416,6.07672053281016
10,low_ret,-2~-1%,9602,6.19675770561206
10,low_ret,-1~0%,10182,6.571067169187877
10,low_ret,0~+1%,9241,5.963782332593319
10,low_ret,+1~+2%,8048,5.19386648768651
10,low_ret,+2~+3%,7066,4.560121844184006
10,low_ret,+3~+5%,11304,7.295162372863855
10,low_ret,+5~+8%,11376,7.341628375238783
10,low_ret,+8~+10%,4884,3.1519438277660177
10,low_ret,+10~+15%,6675,4.307785636842377
10,low_ret,+15~+20%,3063,1.9767411843667717
10,low_ret,>=+20%,3406,2.1981000567917808
10,close_ret,<-20%,3749,2.41945892921679
10,close_ret,-20~-15%,3286,2.120656719500232
10,close_ret,-15~-10%,7046,4.54721462130208
10,close_ret,-10~-8%,5620,3.626929629820848
10,close_ret,-8~-5%,14447,9.323532448758325
10,close_ret,-5~-3%,14562,9.397748980329393
10,close_ret,-3~-2%,8769,5.659171872579895
10,close_ret,-2~-1%,9059,5.846326604367804
10,close_ret,-1~0%,9736,6.283236098920956
10,close_ret,0~+1%,9525,6.147064897516651
10,close_ret,+1~+2%,8679,5.601089369611235
10,close_ret,+2~+3%,8011,5.169988125354949
10,close_ret,+3~+5%,13136,8.477463988848159
10,close_ret,+5~+8%,14016,9.045381795652848
10,close_ret,+8~+10%,6441,4.156771129123857
10,close_ret,+10~+15%,9213,5.945712220558624
10,close_ret,+15~+20%,4463,2.8802467861015026
10,close_ret,>=+20%,5194,3.352005782435851
11,high_ret,<-20%,2928,1.8946673655193833
11,high_ret,-20~-15%,2538,1.6423038844563507
11,high_ret,-15~-10%,5218,3.3764939594536005
11,high_ret,-10~-8%,4087,2.6446398643708062
11,high_ret,-8~-5%,10777,6.973644193375135
11,high_ret,-5~-3%,12009,7.770853959194766
11,high_ret,-3~-2%,7500,4.853143866596781
11,high_ret,-2~-1%,8522,5.514465604151702
11,high_ret,-1~0%,9122,5.902717113479445
11,high_ret,0~+1%,9314,6.026957596464324
11,high_ret,+1~+2%,9146,5.9182471738525555
11,high_ret,+2~+3%,8553,5.53452526546697
11,high_ret,+3~+5%,14468,9.362038061589631
11,high_ret,+5~+8%,16126,10.43490639903196
11,high_ret,+8~+10%,7721,4.996149839199167
11,high_ret,+10~+15%,12131,7.8497984327580745
11,high_ret,+15~+20%,6121,3.960812480991853
11,high_ret,>=+20%,8258,5.343634940047496
11,low_ret,<-20%,5793,3.7485683225593545
11,low_ret,-20~-15%,3963,2.5644012191097394
