request_index,generator,formula,canonical_expression,expression_hash,family,expected_direction,lookback,status,eval_status,coverage,disc_ic,disc_days,q5q1_disc,ic_2020,ic_2021,ic_2022,n_same_sign,disc_pval,pass_discovery,fdr_pass,val_ic,val_q5q1,test_ic,test_q5q1
176,TEMPLATE,"interaction(ret_5d,atr14_pct)","interaction(atr14_pct,ret_5d)",3739b80a75658972,INTERACTION,NA,NA,PROPOSED,OK,1.0,0.043205207895778544,608,0.008117218970843224,0.04685137248391033,0.07062399738937601,0.011876804289351004,3,2.8954325096197664e-05,True,True,0.04597560884103607,0.007920960669959967,0.05691013567583509,0.0110685872307614
177,TEMPLATE,"min(ret_5d,atr14_pct)","min(atr14_pct,ret_5d)",5ce1af0deaa835c4,PRICE_REVERSAL,NA,NA,PROPOSED,OK,1.0,0.038524702343709825,608,0.0064652255851517515,0.05414490591993446,0.053878029098765406,0.01065748834961015,3,9.768643217422657e-05,True,True,0.045053455643569586,0.00682219451914177,0.04820784393719706,0.0034418076151706265
178,TEMPLATE,"max(ret_5d,atr14_pct)","max(atr14_pct,ret_5d)",f33222aa4a668899,PRICE_REVERSAL,NA,NA,PROPOSED,OK,1.0,-0.04479156667277601,608,-0.005461569710345564,-0.03401395000794111,-0.0797381591630437,-0.01659053831746387,3,1.733100844214519e-05,True,True,-0.03857458128270553,-0.008502226316848072,-0.06369659422202115,-0.008054947383707916
180,TEMPLATE,"diff(ret_5d,bb_width)","diff(ret_5d,bb_width)",52bf04cc3bd6051c,INTERACTION,NA,NA,PROPOSED,OK,1.0,0.030749006004049662,608,0.002455682953142591,-0.01580154204331502,0.08503446434069875,0.009607655053508095,2,0.0035428080942412343,True,True,0.10568040501842026,0.018874543061922815,0.027782539707840063,-0.004552325805162838
181,TEMPLATE,"interaction(ret_5d,bb_width)","interaction(bb_width,ret_5d)",acab6df2bbdef4a6,INTERACTION,NA,NA,PROPOSED,OK,1.0,0.030527561313009283,608,0.0003260531917991873,-0.020165220275152513,0.0843911961981648,0.01297515337753255,2,0.004432266628041859,True,True,0.10763710111432478,0.020556501106645753,0.025965995555069774,-0.005387472844231724
182,TEMPLATE,"min(ret_5d,bb_width)","min(bb_width,ret_5d)",4fc27f5ea7d73eac,PRICE_REVERSAL,NA,NA,PROPOSED,OK,1.0,0.038524702343709825,608,0.0064652255851517515,0.05414490591993446,0.053878029098765406,0.01065748834961015,3,9.768643217422657e-05,True,True,0.045053455643569586,0.00682219451914177,0.04820784393719706,0.0034418076151706265
184,TEMPLATE,"ratio(ret_5d,drawdown_20)","ratio(ret_5d,drawdown_20)",097951e7ee293b89,INTERACTION,NA,NA,PROPOSED,OK,1.0,-0.02299581787031639,608,-0.004199740174287882,-0.034806524688651544,-0.009728599302819713,-0.027832798382892182,3,0.014773867408922836,True,True,-0.009506798675787909,0.0002797980223991559,-0.014896166439687605,-0.005947251889419027
186,TEMPLATE,"interaction(ret_5d,drawdown_20)","interaction(drawdown_20,ret_5d)",60a148d52a37e189,INTERACTION,NA,NA,PROPOSED,OK,1.0,-0.03879771968862991,608,-0.005648936506323377,-0.04920652295196457,-0.06352840099377297,-0.005126814096867024,3,0.00011128535611959478,True,True,-0.05224112377095536,-0.008398271579048634,-0.04920094302420867,0.00035796258222368964
187,TEMPLATE,"min(ret_5d,drawdown_20)","min(drawdown_20,ret_5d)",508cf0dfef15672f,PRICE_REVERSAL,NA,NA,PROPOSED,OK,1.0,0.03656187965962508,608,0.005453521103831686,0.044504652083969365,0.06370620367950815,0.002252318929162539,3,0.000308414126125367,True,True,0.049801843296774874,0.00868853808306046,0.04815071750686869,-0.0019766264193894823
188,TEMPLATE,"max(ret_5d,drawdown_20)","max(drawdown_20,ret_5d)",a136d5e5ec6fe8d5,PRICE_REVERSAL,NA,NA,PROPOSED,OK,1.0,0.038524702343709825,608,0.0064652255851517515,0.05414490591993446,0.053878029098765406,0.01065748834961015,3,9.768643217422657e-05,True,True,0.045053455643569586,0.00682219451914177,0.04820784393719706,0.0034418076151706265
189,TEMPLATE,"ratio(ret_5d,distance_52w_high)","ratio(ret_5d,distance_52w_high)",e4381ba45fa22f4a,INTERACTION,NA,NA,PROPOSED,OK,0.9777234940032268,-0.028372788910172156,586,-0.0021349577629970213,0.016653353733061534,-0.06062633251152485,-0.024453146256147782,2,0.003443588818087262,True,True,0.020934601860600414,0.0039663918356361485,-0.05160955424492484,-0.012263444935504669
191,TEMPLATE,"interaction(ret_5d,distance_52w_high)","interaction(distance_52w_high,ret_5d)",e2fda8f73ce99923,INTERACTION,NA,NA,PROPOSED,OK,0.9777234940032268,-0.03998883985480142,586,-0.004010848042877321,-0.10042651670877359,-0.04025951314967827,0.00012065302427779458,2,0.00011047982285150582,True,True,-0.07558392636334862,-0.009924509215174472,-0.015777307851395597,0.012091291110625018
