ts_code,trade_date,name,market,close,pre_close,pct_change,old_is_limit_down,correct_is_limit_down
300222.SZ,2022-04-25,科大智能,创业板,6.2,6.9,-10.144927536231885,1,0
300222.SZ,2024-02-05,科大智能,创业板,4.26,5.0,-14.800000000000002,1,0
300222.SZ,2024-02-28,科大智能,创业板,5.82,6.44,-9.627329192546586,1,0
300222.SZ,2024-04-16,科大智能,创业板,4.98,5.51,-9.61887477313973,1,0
300222.SZ,2024-10-09,科大智能,创业板,8.12,9.04,-10.176991150442483,1,0
300222.SZ,2024-11-18,科大智能,创业板,8.78,10.15,-13.497536945812815,1,0
300222.SZ,2024-11-26,科大智能,创业板,11.59,13.56,-14.528023598820061,1,0
300223.SZ,2021-08-03,君正股份,创业板,151.88,172.61,-12.009732923932571,1,0
300223.SZ,2021-09-13,君正股份,创业板,128.8,146.5,-12.081911262798627,1,0
300223.SZ,2022-10-10,君正股份,创业板,66.09,73.97,-10.652967419224002,1,0
300223.SZ,2023-07-28,君正股份,创业板,84.12,93.1,-9.6455424274973,1,0
300223.SZ,2023-10-16,君正股份,创业板,67.9,76.63,-11.392405063291122,1,0
300223.SZ,2025-04-07,君正股份,创业板,60.4,70.6,-14.44759206798867,1,0
300223.SZ,2026-02-02,君正股份,创业板,127.89,143.8,-11.063977746870657,1,0
300223.SZ,2026-07-13,君正股份,创业板,190.17,219.9,-13.519781718963175,1,0
300223.SZ,2026-07-17,君正股份,创业板,153.82,174.6,-11.901489117983965,1,0
300223.SZ,2026-07-28,君正股份,创业板,127.1,145.66,-12.742001922284773,1,0
300223.SZ,2026-08-19,君正股份,创业板,137.25,152.75,-10.14729950900164,1,0
300224.SZ,2020-09-10,正海磁材,创业板,9.66,10.99,-12.101910828025474,1,0
300224.SZ,2021-02-05,正海磁材,创业板,11.27,12.49,-9.76781425140113,1,0
300224.SZ,2021-12-17,正海磁材,创业板,16.98,18.97,-10.490247759620441,1,0
300224.SZ,2022-04-25,正海磁材,创业板,10.24,11.4,-10.175438596491226,1,0
300224.SZ,2024-11-04,正海磁材,创业板,14.68,16.43,-10.651247717589774,1,0
300224.SZ,2025-01-27,正海磁材,创业板,11.96,13.23,-9.599395313681025,1,0
300224.SZ,2025-04-07,正海磁材,创业板,11.95,13.55,-11.808118081180819,1,0
300225.SZ,2020-08-24,金力泰,创业板,9.85,11.52,-14.496527777777779,1,0
300225.SZ,2020-11-26,金力泰,创业板,21.0,23.29,-9.832546157148991,1,0
300225.SZ,2020-12-11,金力泰,创业板,12.28,14.14,-13.154172560113164,1,0
300225.SZ,2021-02-25,金力泰,创业板,20.5,23.92,-14.297658862876261,1,0
300225.SZ,2021-03-19,金力泰,创业板,15.71,17.54,-10.433295324971482,1,0
300225.SZ,2022-04-25,金力泰,创业板,6.0,6.7,-10.447761194029848,1,0
