date,action,index_key,etf,shares,price,amount,fee,cash_after,level,pnl,holding_days
2023-02-07,ENTRY,399965.SZ,159707.SZ,217800,0.918,199940.4,49.9851,186305.27449999956,1,,
2023-02-09,EXIT_MIDLINE,399965.SZ,159707.SZ,217800,0.9470000000000001,206256.6,51.564150000000005,392510.3103499996,1,6214.650750000031,2.0
2023-02-17,ENTRY,980086.CNI,159992.SZ,203000,0.985,199955.0,49.98875,192505.3215999996,1,,
2023-02-23,EXIT_MIDLINE,399986.SZ,512800.SH,185500,1.084,201082.0,50.2705,393537.0510999996,1,1012.7372500000155,16.0
2023-02-28,ENTRY,399989.SZ,512170.SH,388300,0.515,199974.5,49.993625,193512.55747499957,1,,
2023-03-13,ADD,980086.CNI,159992.SZ,203600,0.9500000000000001,193420.0,48.355000000000004,44.20247499956167,2,,
2023-03-27,EXIT_MIDLINE,980086.CNI,159992.SZ,406600,0.9480000000000001,385456.80000000005,96.36420000000001,385404.63827499957,2,-8112.907949999956,38.0
2023-03-27,EXIT_MIDLINE,399989.SZ,512170.SH,388300,0.5,194150.0,48.5375,579506.1007749996,1,-5923.0311250000095,27.0
2023-03-30,ENTRY,399967.SZ,512660.SH,184500,1.084,199998.0,49.9995,379458.10127499956,1,,
2023-04-06,EXIT_MIDLINE,399967.SZ,512660.SH,184500,1.119,206455.5,51.613875,585861.9873999995,1,6355.886625000002,7.0
2023-04-13,ENTRY,399987.SZ,512690.SH,236400,0.846,199994.4,49.998599999999996,385817.58879999956,1,,
2023-04-13,ENTRY,000126.SH,515650.SH,161100,1.241,199925.1,49.981275000000004,185842.50752499956,1,,
2023-04-25,ADD,000126.SH,515650.SH,153900,1.207,185757.30000000002,46.439325000000004,38.76819999952568,2,,
2023-05-22,EXIT_MIDLINE,399987.SZ,512690.SH,236400,0.8200000000000001,193848.00000000003,48.46200000000001,193838.30619999956,1,-6244.860599999961,39.0
2023-05-22,EXIT_MIDLINE,000126.SH,515650.SH,315000,1.196,376740.0,94.185,570484.1211999996,2,-9133.005600000028,39.0
2023-05-24,ENTRY,399965.SZ,159707.SZ,244400,0.8180000000000001,199919.2,49.979800000000004,370514.94139999954,1,,
