date,open_positions,cash,equity,invested_pct,n_entries,n_exits,eligible_count,n_signal,n_amount_pos,signal_ratio,cash_pct
2016-09-28,3,23.30113922948658,465482.10113922943,0.9999499419222082,0,0,67,2,67,0.029850746268656716,5.00580777917925e-05
2016-09-29,3,23.30113922948658,467543.3011392295,0.9999501626070297,0,0,67,0,67,0.0,4.983739297026446e-05
2016-09-30,3,23.30113922948658,469029.1011392295,0.9999503204829446,0,0,67,0,67,0.0,4.967951705536766e-05
2016-10-10,3,23.30113922948658,480094.3011392295,0.9999514654950616,0,0,69,0,69,0.0,4.853450493835787e-05
2016-10-11,3,23.30113922948658,480915.6011392295,0.9999515483815158,0,0,70,0,70,0.0,4.84516184842132e-05
2016-10-12,3,23.30113922948658,480721.8011392295,0.9999515288485475,0,0,68,0,68,0.0,4.847115145245606e-05
2016-10-13,3,23.30113922948658,480372.4011392295,0.9999514935929411,0,0,65,0,65,0.0,4.850640705889031e-05
2016-10-14,3,23.30113922948658,479560.3011392295,0.9999514114509184,0,0,68,0,68,0.0,4.858854908162957e-05
2016-10-17,3,23.30113922948658,473848.4011392295,0.9999508257510767,0,0,67,0,67,0.0,4.917424892325606e-05
2016-10-18,3,23.30113922948658,480644.0011392295,0.9999515210027083,0,0,69,1,69,0.014492753623188406,4.847899729165661e-05
2016-10-19,3,23.30113922948658,477905.8011392295,0.9999512432383663,0,0,67,0,67,0.0,4.875676163373921e-05
2016-10-20,3,23.30113922948658,480483.9011392295,0.9999515048492275,0,0,67,0,67,0.0,4.849515077254285e-05
2016-10-21,3,23.30113922948658,478567.60113922955,0.9999513106629575,0,0,67,0,67,0.0,4.868933704249567e-05
2016-10-24,3,23.30113922948658,482546.4011392295,0.9999517121272182,0,0,70,0,70,0.0,4.828787278177149e-05
2016-10-25,3,23.30113922948658,482607.7011392295,0.9999517182606608,0,0,69,0,69,0.0,4.828173933923985e-05
2016-10-26,3,23.30113922948658,479630.8011392295,0.9999514185928549,0,0,67,0,67,0.0,4.858140714514292e-05
2016-10-27,3,23.30113922948658,479254.4011392295,0.9999513804376671,0,0,65,0,65,0.0,4.8619562332929966e-05
2016-10-28,3,23.30113922948658,475388.3011392295,0.9999509850386018,0,0,66,0,66,0.0,4.9014961398197165e-05
2016-10-31,3,23.30113922948658,473986.2011392295,0.9999508400472978,0,0,67,0,67,0.0,4.9159952702160226e-05
2016-11-01,3,23.30113922948658,477852.4011392295,0.9999512377897988,0,0,64,0,64,0.0,4.876221020122529e-05
2016-11-02,3,23.30113922948658,472637.6011392295,0.9999506997767986,0,0,68,0,68,0.0,4.930022320137617e-05
2016-11-03,3,23.30113922948658,475238.8011392295,0.9999509696195394,0,0,70,0,70,0.0,4.903038046055741e-05
2016-11-04,3,23.30113922948658,472826.2011392295,0.9999507194415763,0,0,70,3,70,0.04285714285714286,4.9280558423681065e-05
2016-11-07,3,23.30113922948658,471390.4011392295,0.9999505693387621,0,0,70,3,70,0.04285714285714286,4.943066123785922e-05
2016-11-08,3,23.30113922948658,474967.9011392295,0.9999509416548495,0,0,73,1,73,0.0136986301369863,4.9058345150454485e-05
2016-11-09,3,23.30113922948658,468975.9011392295,0.9999503148473666,0,0,72,3,72,0.041666666666666664,4.968515263337192e-05
2016-11-10,3,23.30113922948658,473940.20113922947,0.9999508352758988,0,0,73,0,73,0.0,4.9164724101213864e-05
2016-11-11,3,23.30113922948658,475415.4011392295,0.9999509878325908,0,0,73,0,73,0.0,4.901216740915704e-05
2016-11-14,2,71842.82188695908,476616.121886959,0.8492648095861132,0,1,70,0,70,0.0,0.15073519041388683
2016-11-15,2,71842.82188695908,479315.42188695905,0.8501136858811474,0,0,72,0,72,0.0,0.14988631411885256
2016-11-16,2,71842.82188695908,479938.3218869591,0.8503082195968499,0,0,70,0,70,0.0,0.14969178040315012
2016-11-17,2,71842.82188695908,477923.2218869591,0.8496770640202294,0,0,68,0,68,0.0,0.15032293597977064
2016-11-18,2,71842.82188695908,476432.22188695904,0.8492066267003979,0,0,71,0,71,0.0,0.15079337329960207
2016-11-21,2,71842.82188695908,475376.2218869591,0.8488716545354623,0,0,72,0,72,0.0,0.15112834546453768
